,Title,Link,Date,Summary,Thumbnail
26,"Minibasket Urania Wildcats, ripartiti ...........",http://www.uraniabasket.it/news/89369513478/minibasket-urania-wildcats-ripartiti,2020-10-01,Abbiamo aspettato un po' a scrivere ... giusto il tempo di capire se si trattava di un sogno o della realtà che provava a riprendere il...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_485261333717_1601100907413069.jpg
27,Settore Giovanile: Iscrizioni on line al via!,http://www.uraniabasket.it/news/55009775110/settore-giovanile-iscrizioni-on-line-al-via,2020-09-30,Si apre oggi la possibilità di iscrizione alla stagione sportiva 2020-2021 per i ragazzi del Settore Giovanile Urania Milano. L'iscrizione...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_382182118613_1601470079373909.jpg
28,Sentite Condoglianze,http://www.uraniabasket.it/news/329887682054/sentite-condoglianze,2020-09-30,"Urania si stringe con un grande abbraccio a Stefania Biffi (ex-presidente Urania) e alla sua famiglia per la scomparsa del papà Italo.
Da...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_17109898453_1599235578743402.jpg
29,Amichevole in famiglia per il gruppo Under 15 d'eccellenza,http://www.uraniabasket.it/news/226808466950/amichevole-in-famiglia-per-il-gruppo-under-15-d-eccellenza,2020-09-27,"Amichevole in famiglia quella svolta nel pomeriggio di domenica 27 settembre presso la palestra secondaria del Palalido, per quanto riguarda il...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_416541856981_1601243297826782.jpg
30,Under 13 A impegnati in amichevole con Cantù,http://www.uraniabasket.it/news/501686373894/under-13-a-impegnati-in-amichevole-con-cantu,2020-09-27,"Amichevole di lusso per quanto riguarda il gruppo Under 13 (ragazzi nati nel 2008) che nella mattinata di sabato 26 settembre, presso l'impianto...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_210383426773_1601160360803679.jpg
31,Ecco i Gironi per i Campionati d'Eccellenza 20-21,http://www.uraniabasket.it/news/364247420422/ecco-i-gironi-per-i-campionati-d-eccellenza-20-21,2020-09-26,"Rombano i motori per i campionati d'eccellenza, Under 18 e Under 15 con la comunicazione del Comitato Regionale che ha diviso in due gironi da 7...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_72944473301_1601075084894121.jpg
32,Un grande Grazie a tutte le famiglie del mondo Urania,http://www.uraniabasket.it/news/158088990214/un-grande-grazie-a-tutte-le-famiglie-del-mondo-urania,2020-09-26,"In occasione dell’inizio della nuova stagione sportiva 2020-2021, la Società Urania Milano, nelle persone del Presidente Ettore...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_347822380245_1601073271660888.jpg
33,Programma allenamenti dal 28 al 4 ottobre,http://www.uraniabasket.it/news/432966897158/programma-allenamenti-dal-28-al-4-ottobre,2020-09-25,Eccoci pronti per la pubblicazione del programma allenamenti per quanto riguarda la squadre del Settore Giovanile Urania per la settimana che va da...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_480966366421_1601049301151502.jpg
34,Buona la prima nel confronto con i Tigers Lugano,http://www.uraniabasket.it/news/20650036742/buona-la-prima-nel-confronto-con-i-tigers-lugano,2020-09-24,"Lampi promettenti per Urania che piega Lugano (95-88) nella prima amichevole ufficiale.

Dopo un inizio in salita prendono il comando delle...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_343527412949_160094414880231.png
35,"Urania e Farid Shirvani fanno squadra, il noto personaggio TV e influencer è il brand ambassador dei Wildcats",http://www.uraniabasket.it/news/253652012550/urania-e-farid-shirvani-fanno-squadra-il-noto-personaggio-tv-e-influencer-e-il-brand-ambassador-dei-wildcats,2020-09-22,"Una grande novità in arrivo in casa Urania, Farid Shirvani (noto giovane personaggio TV e influencer italiano di origine persiana) sarà...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_549685843157_1600769065722405.jpg
36,Programma allenamenti 21-27 settembre,http://www.uraniabasket.it/news/528529919494/programma-allenamenti-21-27-settembre,2020-09-18,Siamo pronti alla pubblicazione del programma allenamenti per quanto riguarda le squadre del Settore Giovanile Urania Milano per la settimana che va...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_171728721109_1600437705400630.jpg
37,Composizione gironi campionati d'eccellenza,http://www.uraniabasket.it/news/116213059078/composizione-gironi-campionati-d-eccellenza,2020-09-18,"Con una comunicazione degli ultimi giorni, il Comitato Regionale della Lombardia ha comunicato la composizione dei gironi per quanto concerne i...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_34289767637_1600436650467492.jpg
38,Urania e McFIT insieme per la Stagione 2020/2021,http://www.uraniabasket.it/news/391090966022/urania-e-mcfit-insieme-per-la-stagione-2020-2021,2020-09-15,Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con McFIT per la Stagione 2020/2021....,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_309167674581_1600188804941191.png
39,Urania e QS4B srl insieme per la Stagione 2020/2021,http://www.uraniabasket.it/news/184932535814/urania-e-qs4b-srl-insieme-per-la-stagione-2020-2021,2020-09-11,Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con QS4B srl per la Stagione 2020/2021....,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_240448197845_1599837509380216.png
40,Programma allenamenti 14-20 settembre 2020,http://www.uraniabasket.it/news/459810442758/programma-allenamenti-14-20-settembre-2020,2020-09-11,Siamo pronti a pubblicare il programma degli allenamenti per quanto riguarda le squadra giovanili Urania Milano per la settimana che va da...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_515326104789_1599828193103947.jpg
41,Lazzari e Molin: dalle Giovanili ad aggregati della Serie A,http://www.uraniabasket.it/news/47493582342/lazzari-e-molin-dalle-giovanili-ad-aggregati-della-serie-a,2020-09-10,"Urania arricchisce il gruppo di lavoro che affiancherà la truppa di coach Villa con altri 2 giovani talentuosi: Vittorio Lazzari, ala...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_51469636821_1599744009719628.jpg
42,Dal Maryland in arrivo tecnica e difesa per esaltare l’Allianz Cloud,http://www.uraniabasket.it/news/322371489286/dal-maryland-in-arrivo-tecnica-e-difesa-per-esaltare-l-allianz-cloud,2020-09-08,"Urania completa il mercato con l’ultimo atteso colpo, sarà Wayne Langston il nuovo big man dei Wildcats.

Prodotto da Murray State,...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_326347543765_1599578704311141.jpg
43,"I tre ""canterani"" aggregati in Serie A",http://www.uraniabasket.it/news/219292274182/i-tre-canterani-aggregati-in-serie-a,2020-09-07,Prosegue il completamento del roster da parte di Urania che aggiunge tre giovani interessanti della “cantera” milanese al gruppo di coach...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_395067020501_1599491382272024.jpg
44,Sentite Condoglianze,http://www.uraniabasket.it/news/494170181126/sentite-condoglianze,2020-09-04,"Urania si stringe con un grande abbraccio alla famiglia Giorgetti per la scomparsa della Signora Câline.
Da tutto il mondo Wildcats le...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_17109898453_1599235578743402.jpg
45,Programma allenamenti 7-13 settembre,http://www.uraniabasket.it/news/81853320710/programma-allenamenti-7-13-settembre,2020-09-04,Con piacere siamo pronti a pubblicare il nuovo programma di allenamenti per quanto riguarda l'attività di Settore Giovanile per la...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_291987805397_1599231103636297.jpg
